Vármegye,Település neve,Útszám,Kilométer-szelvény/utca,GPS koordináta szélesség,GPS koordináta hosszúság
Bács-Kiskun,Fülöpszállás,,5231+754,46.842880,19.281463
Bács-Kiskun,Harta,,5151. számú főúti szakaszán,46.718108,19.022638
Bács-Kiskun,Kecskemét,,Budai u. 133-132.,46.926810,19.666990
Bács-Kiskun,Kecskemét,,Budai u.,46.963640,19.641370
Bács-Kiskun,Kecskemét,,582+592,46.926829,19.667114
Bács-Kiskun,Kecskemét,,577 km (bal oldal),46.938026,19.659270
Bács-Kiskun,Kiskőrös,,5327+154,46.623624,19.275881
Bács-Kiskun,Kiskunhalas,,5357+148,46.423908,19.495894
Bács-Kiskun,Mélykút,,55. számú főút,46.219125,19.394123

Békés,Békéscsaba,,44129+099,46.672022,21.176084
Békés,Békéscsaba,,44125+578,46.695349,21.121260
Békés,Békéscsaba,,Kolozsvári u. 25-31,46.668370,21.067350
Békés,Békéscsaba,,Lencsési út 114-98.,46.665610,21.122270
Békés,Gyula,,Temesvári út 194.,46.637799,21.309199
Békés,Csárdaszállás,,4657+675,46.862888,20.933659
Békés,Kardos,,4489+426,46.798685,20.716940
Békés,Körösladány,,4789+188,46.974806,21.088833
Békés,Orosháza,,4745+422,46.565743,20.669015

Borsod-Abaúj-Zemplén,Bükkábrány,,3152+494,47.887306,20.683077
Borsod-Abaúj-Zemplén,Edelény,,2711+321,48.299726,20.745265
Borsod-Abaúj-Zemplén,Gelej (Mezőkeresztes),,M3 142+984,47.848851,20.746208
Borsod-Abaúj-Zemplén,Gelej (Mezőkeresztes),,M3 142+958,47.848632,20.746087
Borsod-Abaúj-Zemplén,Mályi,,3173+842,48.010172,20.826165
Borsod-Abaúj-Zemplén,Miskolc,,269+348,48.183367,20.757264
Borsod-Abaúj-Zemplén,Miskolc,,269+274,48.183367,20.757264
Borsod-Abaúj-Zemplén,Miskolc,,260+271,48.106272,20.789811
Borsod-Abaúj-Zemplén,Miskolc,,Kiss Ernő u. 9-5,48.100860,20.752490
Borsod-Abaúj-Zemplén,Miskolc,,260+315,48.106705,20.789710
Borsod-Abaúj-Zemplén,Miskolc,,3180+624,48.074867,20.793249
Borsod-Abaúj-Zemplén,Sátoraljaújhely,,3774+567,48.383410,21.652991
Borsod-Abaúj-Zemplén,Ózd,,2165+758,48.204344,20.263373

Csongrád-Csanád,Hódmezővásárhely,,4550+068,46.434576,20.318311
