id;sorszám;elrejtés;rövid név;lat d; lat m;lon d; lon m;magasság;teljes név;ikon;típus;megye/ország;nehézség;terep;waypoint;description;felhasználó id;felhasználónév;email;telefonszám;utolsó megtalálás;"+";"?";"-";"!";.com;fényképek;"saját / megtalált / még nincs meg"
183765;183765;2016.12.26 21:33;"Traffipax es kamera rendszer";46;37,4190;19;16,5550;96;"Traffipax és kamera rendszer";"";"traffipax";"Bács-Kiskun";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"7584";"fodor8peter";"";"";;;;;;;0;;
183764;183764;2016.12.26 21:31;"Traffipax es kamera rendszer";46;50,1400;20;17,5570;83;"Traffipax és kamera rendszer";"";"traffipax";"Jász-Nagykun-Szolnok";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"7584";"fodor8peter";"";"";;;;;;;0;;
183763;183763;2016.12.26 21:30;"Traffipax es kamera rendszer";46;55,6080;19;40,0220;119;"Traffipax és kamera rendszer";"";"traffipax";"Bács-Kiskun";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"7584";"fodor8peter";"";"";;;;;;;0;;
183762;183762;2016.12.26 21:22;"Traffipax es kamera rendszer";46;50,5750;19;16,8880;97;"Traffipax és kamera rendszer";"";"traffipax";"Bács-Kiskun";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"7584";"fodor8peter";"";"";;;;;;;0;;
183690;183690;2016.12.20 15:53;"Traffipax es kamera rendszer";47;10,3700;18;28,1150;125;"Traffipax és kamera rendszer";"";"traffipax";"Fejér";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"7584";"fodor8peter";"";"";;;;;;;0;;
183689;183689;2016.12.20 15:52;"Traffipax es kamera rendszer";47;11,8840;18;26,4160;125;"Traffipax és kamera rendszer";"";"traffipax";"Fejér";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"7584";"fodor8peter";"";"";;;;;;;0;;
183688;183688;2016.12.20 15:50;"Traffipax es kamera rendszer";47;12,6390;17;54,7990;392;"Traffipax és kamera rendszer";"";"traffipax";"Veszprém";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"7584";"fodor8peter";"";"";;;;;;;0;;
183687;183687;2016.12.20 15:49;"Traffipax es kamera rendszer";47;8,5120;17;34,2460;254;"Traffipax és kamera rendszer";"";"traffipax";"Veszprém";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"7584";"fodor8peter";"";"";;;;;;;0;;
183686;183686;2016.12.20 15:47;"Traffipax es kamera rendszer";47;16,7040;17;31,4000;187;"Traffipax és kamera rendszer";"";"traffipax";"Veszprém";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"7584";"fodor8peter";"";"";;;;;;;0;;
183685;183685;2016.12.20 12:56;"Traffipax es kamera rendszer";47;16,7840;18;44,9440;124;"Traffipax és kamera rendszer";"";"traffipax";"Fejér";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"7584";"fodor8peter";"";"";;;;;;;0;;
183684;183684;2016.12.20 12:55;"Traffipax es kamera rendszer";48;4,9140;19;30,5180;177;"Traffipax és kamera rendszer";"";"traffipax";"Nógrád";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"7584";"fodor8peter";"";"";;;;;;;0;;
183683;183683;2016.12.20 12:53;"Traffipax es kamera rendszer";47;59,5740;19;11,7910;184;"Traffipax és kamera rendszer";"";"traffipax";"Nógrád";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"7584";"fodor8peter";"";"";;;;;;;0;;
183681;183681;2016.12.20 02:41;"Traffipax es kamera rendszer";47;57,7940;21;43,4940;110;"Traffipax és kamera rendszer";"";"traffipax";"Szabolcs-Szatmár-Bereg";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"16256";"FTom";"";"";;;;;;;0;;
183680;183680;2016.12.20 02:41;"Traffipax es kamera rendszer";47;57,7620;21;43,5000;110;"Traffipax és kamera rendszer";"";"traffipax";"Szabolcs-Szatmár-Bereg";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"16256";"FTom";"";"";;;;;;;0;;
183679;183679;2016.12.20 02:41;"Traffipax es kamera rendszer";47;57,1160;21;44,4380;110;"Traffipax és kamera rendszer";"";"traffipax";"Szabolcs-Szatmár-Bereg";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"16256";"FTom";"";"";;;;;;;0;;
183678;183678;2016.12.20 02:41;"Traffipax es kamera rendszer";47;53,2110;21;44,3100;110;"Traffipax és kamera rendszer";"";"traffipax";"Szabolcs-Szatmár-Bereg";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"16256";"FTom";"";"";;;;;;;0;;
183677;183677;2016.12.20 02:41;"Traffipax es kamera rendszer";47;53,2070;21;44,2910;110;"Traffipax és kamera rendszer";"";"traffipax";"Szabolcs-Szatmár-Bereg";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"16256";"FTom";"";"";;;;;;;0;;
183676;183676;2016.12.20 02:41;"Traffipax es kamera rendszer";47;57,5940;22;18,9120;120;"Traffipax és kamera rendszer";"";"traffipax";"Szabolcs-Szatmár-Bereg";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"16256";"FTom";"";"";;;;;;;0;;
183675;183675;2016.12.20 02:41;"Traffipax es kamera rendszer";47;38,3390;21;39,5490;142;"Traffipax és kamera rendszer";"";"traffipax";"Hajdú-Bihar";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"16256";"FTom";"";"";;;;;;;0;;
183674;183674;2016.12.20 02:41;"Traffipax es kamera rendszer";47;34,6850;21;35,4380;120;"Traffipax és kamera rendszer";"";"traffipax";"Hajdú-Bihar";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"16256";"FTom";"";"";;;;;;;0;;
183673;183673;2016.12.20 02:41;"Traffipax es kamera rendszer";47;32,7810;21;34,1910;120;"Traffipax és kamera rendszer";"";"traffipax";"Hajdú-Bihar";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"16256";"FTom";"";"";;;;;;;0;;
183672;183672;2016.12.20 02:41;"Traffipax es kamera rendszer";47;29,3633;21;37,9573;110;"Traffipax és kamera rendszer";"";"traffipax";"Hajdú-Bihar";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"16256";"FTom";"";"";;;;;;;0;;
183671;183671;2016.12.20 02:41;"Traffipax es kamera rendszer";47;18,1750;21;33,4160;90;"Traffipax és kamera rendszer";"";"traffipax";"Hajdú-Bihar";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"16256";"FTom";"";"";;;;;;;0;;
182122;182122;2016.09.13 13:39;"Traffipax es kamera rendszer";46;22,7280;18;7,8540;135;"Traffipax és kamera rendszer";"";"traffipax";"Tolna";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"7584";"fodor8peter";"";"";;;;;;;0;;
182121;182121;2016.09.13 13:38;"Traffipax es kamera rendszer";46;29,9230;18;24,9600;165;"Traffipax és kamera rendszer";"";"traffipax";"Tolna";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"7584";"fodor8peter";"";"";;;;;;;0;;
182120;182120;2016.09.13 13:36;"Traffipax es kamera rendszer";46;57,3020;18;13,1290;133;"Traffipax és kamera rendszer";"";"traffipax";"Fejér";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"7584";"fodor8peter";"";"";;;;;;;0;;
182119;182119;2016.09.13 13:31;"Traffipax es kamera rendszer ";46;51,0930;17;53,0350;107;"Traffipax és kamera rendszer ";"";"traffipax";"Somogy";;;"Traffipax es kamera rendszer ";"Traffipax és kamera rendszer ";"7584";"fodor8peter";"";"";;;;;;;0;;
182118;182118;2016.09.13 13:25;"Traffipax es kamera rendszer ";46;39,1960;17;23,4910;114;"Traffipax és kamera rendszer ";"";"traffipax";"Somogy";;;"Traffipax es kamera rendszer ";"Traffipax és kamera rendszer ";"7584";"fodor8peter";"";"";;;;;;;0;;
180630;180630;2016.04.23 21:07;"Traffipax es kamera rendszer";46;21,1090;18;53,1840;87;"Traffipax és kamera rendszer";"";"traffipax";"Tolna";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"11404";"eTiGeR";"";"";;;;;;;0;;
180629;180629;2016.04.23 21:04;"Traffipax es kamera rendszer";46;12,0930;18;49,2480;84;"Traffipax és kamera rendszer";"";"traffipax";"Tolna";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"11404";"eTiGeR";"";"";;;;;;;0;;
179211;179211;2015.12.07 22:23;"Traffipax es kamera rendszer";46;21,7350;17;49,0070;150;"Traffipax és kamera rendszer";"";"traffipax";"Somogy";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"309";"Hev";"";"";;;;;;;0;;
179057;179057;2015.11.15 11:25;"Traffipax es kamera rendszer";46;5,1330;18;16,1800;181;"Traffipax és kamera rendszer";"";"traffipax";"Baranya";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"11404";"eTiGeR";"";"";;;;;;;0;;
179056;179056;2015.11.15 11:23;"Traffipax es kamera rendszer";46;15,1310;18;6,6680;134;"Traffipax és kamera rendszer";"";"traffipax";"Baranya";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"11404";"eTiGeR";"";"";;;;;;;0;;
179012;179012;2015.11.13 22:59;"Traffipax es kamera rendszer";46;53,7910;18;59,0660;95;"Traffipax és kamera rendszer";"";"traffipax";"Bács-Kiskun";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"11404";"eTiGeR";"";"";;;;;;;0;;
179011;179011;2015.11.13 22:56;"Traffipax es kamera rendszer ";46;2,9280;17;49,4930;113;"Traffipax és kamera rendszer ";"";"traffipax";"Baranya";;;"Traffipax es kamera rendszer ";"Traffipax és kamera rendszer ";"11404";"eTiGeR";"";"";;;;;;;0;;
178907;178907;2015.10.28 17:20;"Traffipax es kamera rendszer";46;4,3330;17;48,8670;116;"Traffipax és kamera rendszer";"";"traffipax";"Baranya";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"309";"Hev";"";"";;;;;;;0;;
178844;178844;2015.10.15 23:28;"Traffipax es kamera rendszer";46;50,0920;18;6,1650;127;"Traffipax és kamera rendszer";"";"traffipax";"Somogy";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"309";"Hev";"";"";;;;;;;0;;
178812;178812;2015.10.10 13:29;"Traffipax es kamera rendszer ";46;22,1050;17;46,9550;149;"Traffipax és kamera rendszer ";"";"traffipax";"Somogy";;;"Traffipax es kamera rendszer ";"Traffipax és kamera rendszer ";"309";"Hev";"";"";;;;;;;0;;
172215;172215;2014.09.26 12:24;"Traffipax";48;2,6060;19;47,5400;209;"Traffipax";"";"traffipax";"Nógrád";;;"Traffipax";"Traffipax";"11404";"eTiGeR";"";"";;;;;;;0;;
172200;172200;2014.09.26 11:32;"M1 traffipax";47;30,5750;18;37,2170;180;"M1 traffipax";"";"traffipax";"Fejér";;;"M1 traffipax";"M1 traffipax";"11404";"eTiGeR";"";"";;;;;;;0;;
172199;172199;2014.09.26 11:32;"Koroshegyi traffipax 2.";46;49,3440;17;54,3160;148;"Kõröshegyi traffipax 2.";"";"traffipax";"Somogy";;;"Koroshegyi traffipax 2.";"Kõröshegyi traffipax 2.";"11404";"eTiGeR";"";"";;;;;;;0;;
172189;172189;2014.09.26 11:12;"Traffipax";46;55,5600;20;50,0780;81;"Traffipax";"";"traffipax";"Békés";;;"Traffipax";"Traffipax";"11404";"eTiGeR";"";"";;;;;;;0;;
172183;172183;2014.09.26 09:17;"Koroshegyi traffipax 1.";46;49,5250;17;54,2020;137;"Kõröshegyi traffipax 1.";"";"traffipax";"Somogy";;;"Koroshegyi traffipax 1.";"Kõröshegyi traffipax 1.";"11404";"eTiGeR";"";"";;;;;;;0;;
172169;172169;2014.09.26 08:29;"Balatonszarszoi traffipax";46;49,6460;17;50,3540;126;"Balatonszárszói traffipax";"";"traffipax";"Somogy";;;"Balatonszarszoi traffipax";"Balatonszárszói traffipax";"11404";"eTiGeR";"";"";;;;;;;1;;
172168;172168;2014.09.26 08:26;"Diosdi traffipax 5.";47;24,6120;18;57,0640;137;"Diósdi traffipax 5.";"";"traffipax";"Pest";;;"Diosdi traffipax 5.";"Diósdi traffipax 5.";"11404";"eTiGeR";"";"";;;;;;;0;;
172167;172167;2014.09.26 08:25;"Balatonfoldvari traffipax";46;50,7660;17;52,3540;142;"Balatonföldvári traffipax";"";"traffipax";"Somogy";;;"Balatonfoldvari traffipax";"Balatonföldvári traffipax";"11404";"eTiGeR";"";"";;;;;;;0;;
172165;172165;2014.09.26 08:20;"Diosdi traffipax 4.";47;24,1340;18;56,2470;117;"Diósdi traffipax 4.";"";"traffipax";"Pest";;;"Diosdi traffipax 4.";"Diósdi traffipax 4.";"11404";"eTiGeR";"";"";;;;;;;0;;
172121;172121;2014.09.25 18:18;"Diosdi traffipax 3.";47;24,3650;18;56,6150;123;"Diósdi traffipax 3.";"";"traffipax";"Pest";;;"Diosdi traffipax 3.";"Diósdi traffipax 3.";"11404";"eTiGeR";"";"";;;;;;;0;;
172108;172108;2014.09.25 17:39;"Diosdi traffipax 2.";47;24,8090;18;55,8810;194;"Diósdi traffipax 2.";"";"traffipax";"Pest";;;"Diosdi traffipax 2.";"Diósdi traffipax 2.";"11404";"eTiGeR";"";"";;;;;;;0;;
172102;172102;2014.09.25 17:06;"Diosdi traffipax 1.";47;25,0020;18;56,9650;170;"Diósdi traffipax 1.";"";"traffipax";"Pest";;;"Diosdi traffipax 1.";"Diósdi traffipax 1.";"11404";"eTiGeR";"";"";;;;;;;1;;
167666;167666;2014.04.12 19:19;"Traffipax";47;50,8340;19;41,9600;155;"Traffipax";"";"traffipax";"Nógrád";;;"Traffipax";"Traffipax";"15591";"diego";"";"";;;;;;;1;;
131183;131183;2011.12.20 15:50;"Sebessegmero";46;37,9630;18;39,2630;102;"Sebességmérõ";"";"traffipax";"Tolna";;;"Sebessegmero";"Sebességmérõ";"12062";"Erdõjáró";"";"";;;;;;;0;;
129667;129667;2011.11.25 15:29;"Sebessegmero";46;40,6080;18;48,6730;121;"Sebességmérõ";"";"traffipax";"Tolna";;;"Sebessegmero";"Sebességmérõ";"12062";"Erdõjáró";"";"";;;;;;;0;;
129666;129666;2011.11.25 15:27;"Sebessegmero";46;40,9870;18;48,2840;125;"Sebességmérõ";"";"traffipax";"Tolna";;;"Sebessegmero";"Sebességmérõ";"12062";"Erdõjáró";"";"";;;;;;;0;;
129558;129558;2011.11.24 05:43;"Sebessegmero";46;40,6110;18;48,6640;121;"Sebességmérõ";"";"traffipax";"Tolna";;;"Sebessegmero";"Sebességmérõ";"12062";"Erdõjáró";"";"";;;;;;;0;;
126886;126886;2011.10.29 19:12;"Traffic Kontroll";47;41,7590;21;39,3670;140;"Traffic Kontroll";"";"traffipax";"Hajdú-Bihar";;;"Traffic Kontroll";"Traffic Kontroll";"31045";"kimici";"";"";;;;;;;0;;
126866;126866;2011.10.29 14:15;"Fix sebessegmero";47;30,3060;19;7,7930;108;"Fix sebességmérõ";"";"traffipax";"Budapest";;;"Fix sebessegmero";"Fix sebességmérõ";"15591";"diego";"";"";;;;;;;1;;
120482;120482;2011.06.27 01:03;"Sebessegmero";46;37,2078;18;39,2813;101;"Sebességmérõ";"";"traffipax";"Tolna";;;"Sebessegmero";"Sebességmérõ";"17615";"Old Fairy";"";"";;;;;;;0;;
115364;115364;2011.04.08 23:17;"Sebessegmero";46;9,8502;18;15,2257;233;"Sebességmérõ";"";"traffipax";"Baranya";;;"Sebessegmero";"Sebességmérõ";"17615";"Old Fairy";"";"";;;;;;;0;;
100569;100569;2010.08.24 20:59;"Fix traffipax";47;21,4231;16;53,3554;154;"Fix traffipax";"";"traffipax";"Vas";;;"Fix traffipax";"Fix traffipax";"16552";"oli_b";"";"";;;;;;;0;;
100562;100562;2010.08.24 20:59;"Fix traffipax";47;25,3739;17;1,7239;142;"Fix traffipax";"";"traffipax";"Vas";;;"Fix traffipax";"Fix traffipax";"16552";"oli_b";"";"";;;;;;;0;;
97905;97905;2010.07.16 01:23;"Traffipax";46;2,3619;18;9,2527;116;"Traffipax";"";"traffipax";"Baranya";;;"Traffipax";"Traffipax";"17615";"Old Fairy";"";"";;;;;;;0;;
96608;96608;2010.06.25 18:22;"Sebessegmeres";45;58,2943;18;8,1928;149;"Sebességmérés";"";"traffipax";"Baranya";;;"Sebessegmeres";"Sebességmérés";"17615";"Old Fairy";"";"";;;;;;;0;;
96220;96220;2010.06.22 07:59;"Sebessegmero";46;6,1877;17;59,3901;141;"Sebességmérõ";"";"traffipax";"Baranya";;;"Sebessegmero";"Sebességmérõ";"17615";"Old Fairy";"";"";;;;;;;0;;
93785;93785;2010.05.20 22:04;"Traffipax";48;11,2825;21;16,7894;142;"Traffipax";"";"traffipax";"Borsod-Abaúj-Zemplén";;;"Traffipax";"Traffipax";"2389";"guess.who";"";"";;;;;;;0;;
93784;93784;2010.05.20 22:04;"Traffipax";48;11,4688;21;16,5039;143;"Traffipax";"";"traffipax";"Borsod-Abaúj-Zemplén";;;"Traffipax";"Traffipax";"2389";"guess.who";"";"";;;;;;;0;;
93362;93362;2010.05.16 22:32;"Traffipax";46;57,9431;17;54,4067;124;"Traffipax";"";"traffipax";"Veszprém";;;"Traffipax";"Traffipax";"5742";"Hajo";"";"";;;;;;;0;;
92284;92284;2010.05.04 20:44;"Fix traffipax";47;14,8731;16;57,0512;152;"Fix traffipax";"";"traffipax";"Vas";;;"Fix traffipax";"Fix traffipax";"9741";"Arti (junior)";"";"";;;;;;;0;;
90544;90544;2010.04.11 20:33;"Sebessegmero radar";48;4,8075;20;46,6976;173;"Sebességmérõ radar";"";"traffipax";"Borsod-Abaúj-Zemplén";;;"Sebessegmero radar";"Sebességmérõ radar";"846";"zayd";"";"";;;;;;;0;;
90534;90534;2010.04.11 20:33;"Sebessegmero radar";47;58,0522;20;9,0988;172;"Sebességmérõ radar";"";"traffipax";"Heves";;;"Sebessegmero radar";"Sebességmérõ radar";"846";"zayd";"";"";;;;;;;0;;
90414;90414;2010.04.09 00:39;"Sebessegmero radar";48;5,9648;20;51,3177;114;"Sebességmérõ radar";"";"traffipax";"Borsod-Abaúj-Zemplén";;;"Sebessegmero radar";"Sebességmérõ radar";"846";"zayd";"";"";;;;;;;0;;
90413;90413;2010.04.09 00:39;"Sebessegmero radar";48;4,5612;20;52,5061;110;"Sebességmérõ radar";"";"traffipax";"Borsod-Abaúj-Zemplén";;;"Sebessegmero radar";"Sebességmérõ radar";"846";"zayd";"";"";;;;;;;0;;
90409;90409;2010.04.09 00:39;"Sebessegmero radar";48;2,1632;20;57,8645;105;"Sebességmérõ radar";"";"traffipax";"Borsod-Abaúj-Zemplén";;;"Sebessegmero radar";"Sebességmérõ radar";"846";"zayd";"";"";;;;;;;0;;
90403;90403;2010.04.09 00:39;"Sebessegmero radar";48;7,0408;20;53,6803;116;"Sebességmérõ radar";"";"traffipax";"Borsod-Abaúj-Zemplén";;;"Sebessegmero radar";"Sebességmérõ radar";"846";"zayd";"";"";;;;;;;0;;
90361;90361;2010.04.08 19:09;"Traffipax";46;37,5183;18;17,4094;114;"Traffipax";"";"traffipax";"Tolna";;;"Traffipax";"Traffipax";"17615";"Old Fairy";"";"";;;;;;;0;;
90143;90143;2010.04.06 16:32;"Sebessegmero radar";48;7,7303;19;48,6659;281;"Sebességmérõ radar";"";"traffipax";"Nógrád";;;"Sebessegmero radar";"Sebességmérõ radar";"846";"zayd";"";"";;;;;;;0;;
89970;89970;2010.04.05 10:06;"Fekvorendor";46;4,3067;18;12,0272;144;"Fekvõrendõr";"";"traffipax";"Baranya";;;"Fekvorendor";"Fekvõrendõr";"17615";"Old Fairy";"";"";;;;;;;0;;
83500;83500;2009.12.03 00:37;"Sebessegmero kamera";46;4,6670;18;11,3080;173;"Sebességmérõ kamera";"";"traffipax";"Baranya";;;"Sebessegmero kamera";"Sebességmérõ kamera";"17615";"Old Fairy";"";"";;;;;;;0;;
82511;82511;2009.11.24 01:28;"Sebessegmero kamera";45;56,4167;18;21,7382;137;"Sebességmérõ kamera";"";"traffipax";"Baranya";;;"Sebessegmero kamera";"Sebességmérõ kamera";"17615";"Old Fairy";"";"";;;;;;;0;;
82504;82504;2009.11.24 00:44;"Sebessegmero kamera";46;1,6984;18;17,6479;171;"Sebességmérõ kamera";"";"traffipax";"Baranya";;;"Sebessegmero kamera";"Sebességmérõ kamera";"17615";"Old Fairy";"";"";;;;;;;0;;
82503;82503;2009.11.24 00:42;"Sebessegmero kamera";46;1,7621;18;17,5436;164;"Sebességmérõ kamera";"";"traffipax";"Baranya";;;"Sebessegmero kamera";"Sebességmérõ kamera";"17615";"Old Fairy";"";"";;;;;;;0;;
70033;70033;2009.04.25 23:06;"Traffipax";46;23,0399;17;49,5166;130;"Traffipax";"";"traffipax";"Somogy";;;"Traffipax";"Traffipax";"4541";"padler";"";"";;;;;;;0;;
69824;69824;2009.04.23 02:02;"Traffipax";46;23,3045;17;49,5844;133;"Traffipax";"";"traffipax";"Somogy";;;"Traffipax";"Traffipax";"3132";"Fgg";"";"";;;;;;;0;;
66999;66999;2009.03.03 23:28;"Traffipax";47;24,0110;19;0,0160;101;"Traffipax";"";"traffipax";"Budapest";;;"Traffipax";"Traffipax";"14561";"urbalazs";"";"";;;;;;;0;;
66998;66998;2009.03.03 23:28;"Traffipax";47;25,0778;18;55,7740;211;"Traffipax";"";"traffipax";"Pest";;;"Traffipax";"Traffipax";"14561";"urbalazs";"";"";;;;;;;0;;
66613;66613;2009.02.23 09:42;"Fix sebessegmero radar";48;6,8274;21;55,3396;101;"Fix sebességmérõ radar";"";"traffipax";"Szabolcs-Szatmár-Bereg";;;"Fix sebessegmero radar";"Fix sebességmérõ radar";"846";"zayd";"";"";;;;;;;0;;
64173;64173;2009.01.12 15:42;"Traffipax M0 Szigetszentmiklos";47;22,7970;19;2,4160;93;"Traffipax M0 Szigetszentmiklós";"";"traffipax";"Pest";;;"Traffipax M0 Szigetszentmiklos";"Traffipax M0 Szigetszentmiklós";"17188";"gedeg";"";"";;;;;;;0;;
63374;63374;2009.01.03 22:16;"Traffipax";48;17,6356;20;26,2195;162;"Traffipax";"";"traffipax";"Borsod-Abaúj-Zemplén";;;"Traffipax";"Traffipax";"4541";"padler";"";"";;;;;;;0;;
63025;63025;2008.12.29 18:34;"Traffipax";48;7,6090;21;24,5959;101;"Traffipax";"";"traffipax";"Borsod-Abaúj-Zemplén";;;"Traffipax";"Traffipax";"846";"zayd";"";"";;;;;;;0;;
56877;56877;2008.10.07 13:54;"Fix sebessegmero radar";48;6,0100;20;42,4221;172;"Fix sebességmérõ radar";"";"traffipax";"Borsod-Abaúj-Zemplén";;;"Fix sebessegmero radar";"Fix sebességmérõ radar";"846";"zayd";"";"";;;;;;;0;;
56876;56876;2008.10.07 13:54;"Fix sebessegmero radar";48;5,9935;20;42,2024;173;"Fix sebességmérõ radar";"";"traffipax";"Borsod-Abaúj-Zemplén";;;"Fix sebessegmero radar";"Fix sebességmérõ radar";"846";"zayd";"";"";;;;;;;0;;
49625;49625;2008.06.23 12:00;"Traffipax - 130 km/h";47;50,3233;17;15,9793;117;"Traffipax - 130 km/h";"";"traffipax";"Gyõr-Moson-Sopron";;;"Traffipax - 130 km/h";"Traffipax - 130 km/h";"14216";"kecskesrobi";"";"";;;;;;;0;;
49624;49624;2008.06.23 12:00;"Traffipax - 130 km/h";47;41,4470;17;31,3959;111;"Traffipax - 130 km/h";"";"traffipax";"Gyõr-Moson-Sopron";;;"Traffipax - 130 km/h";"Traffipax - 130 km/h";"14216";"kecskesrobi";"";"";;;;;;;0;;
49623;49623;2008.06.23 12:00;"Traffipax - 130 km/h";47;40,9882;18;0,2850;120;"Traffipax - 130 km/h";"";"traffipax";"Komárom-Esztergom";;;"Traffipax - 130 km/h";"Traffipax - 130 km/h";"14216";"kecskesrobi";"";"";;;;;;;0;;
47257;47257;2008.05.03 20:48;"Traffipax";48;8,2537;21;24,0596;104;"Traffipax";"";"traffipax";"Borsod-Abaúj-Zemplén";;;"Traffipax";"Traffipax";"846";"zayd";"";"";;;;;;;0;;
15806;15806;2006.12.21 23:04;"Traffipax";47;41,0623;17;50,2797;117;"Traffipax";"";"traffipax";"Gyõr-Moson-Sopron";;;"Traffipax";"Traffipax";"5199";"cseremoha";"";"";;;;;;;0;;
15497;15497;2006.12.14 13:46;"Traffipax";47;28,1210;18;51,8810;174;"Traffipax";"";"traffipax";"Pest";;;"Traffipax";"Traffipax";"297";"johann g (Lud)";"";"";;;;;;;2;;
15496;15496;2006.12.14 13:36;"Traffipax";47;27,1260;18;56,5870;131;"Traffipax";"";"traffipax";"Pest";;;"Traffipax";"Traffipax";"297";"johann g (Lud)";"";"";;;;;;;1;;
14234;14234;2006.11.23 18:24;"Traffipax";47;36,7837;18;21,1667;141;"Traffipax";"";"traffipax";"Komárom-Esztergom";;;"Traffipax";"Traffipax";"592";"Janó";"";"";;;;;;;0;;
